,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ClosestHospital,ClosestGrocery,ClosestParks,ClosestWhole
2002,PAST SALE,November-2-2021,Townhouse,3655 Malden Ave,Baltimore,MD,21211,194000,3.0,1.5,Ward 13,1024.0,1952.0,1956.0,,189.0,,Sold,,,https://www.redfin.com/MD/Baltimore/3655-Malden-Ave-21211/home/10862050,BRIGHT MLS,MDBA2012078,N,Y,39.3329316,-76.6509839,2.4073815562788012,1.4995861342692296,0.9727649125450308,1.7735716638467154
2003,PAST SALE,,Townhouse,3201 Abell Ave,Baltimore,MD,21218,260000,,2.0,,1980.0,1485.0,1900.0,,131.0,,,,,https://www.redfin.com/MD/Baltimore/3201-Abell-Ave-21218/home/10855382,,,N,Y,39.3271958,-76.6118355,0.3421166327693756,0.27126092420624903,0.08969979952065593,1.3127562373710224
2004,PAST SALE,January-20-2022,Single Family Residential,305 Woodbourne Ave,Baltimore,MD,21212,375000,3.0,2.5,Ward 27,1780.0,6608.0,1941.0,,211.0,17.0,Sold,,,https://www.redfin.com/MD/Baltimore/305-Woodbourne-Ave-21212/home/11152761,BRIGHT MLS,MDBA2018188,N,Y,39.3546018,-76.6113728,2.1205596945049083,0.11589486071901303,1.8426489415976568,1.8226713121181901
2005,PAST SALE,April-4-2022,Single Family Residential,5306 Nuth Ave,Baltimore,MD,21206,249900,3.0,2.0,Ward 26,1963.0,6020.0,1923.0,,127.0,,Sold,,,https://www.redfin.com/MD/Baltimore/5306-Nuth-Ave-21206/home/11092200,BRIGHT MLS,MDBA2030194,N,Y,39.3368737,-76.5513624,1.7766593297752737,1.5737921043725014,3.7987189737172673,4.828132535605619
2006,PAST SALE,,Townhouse,504 S Milton Ave,Baltimore,MD,21224,355000,,3.0,,1482.0,720.0,1915.0,,240.0,,,,,https://www.redfin.com/MD/Baltimore/504-S-Milton-Ave-21224/home/10729092,,,N,Y,39.2857316,-76.5816593,1.271613968166114,1.5106523031955545,0.48955590561701307,1.5106523031955545
2007,PAST SALE,,Townhouse,3911 Hilton Rd,Baltimore,MD,21215,172000,,1.0,,1628.0,2530.0,1935.0,,106.0,,,,,https://www.redfin.com/MD/Baltimore/3911-Hilton-Rd-21215/home/10906579,,,N,Y,39.3300692,-76.6682215,2.499196678018303,2.9964599526517812,2.2859135295781936,3.2904040409507385
2008,PAST SALE,January-21-2022,Townhouse,140 Overbrook Rd,Baltimore,MD,21212,363500,3.0,1.5,RODGERS FORGE,1616.0,3744.0,1952.0,,225.0,,Sold,,,https://www.redfin.com/MD/Baltimore/140-Overbrook-Rd-21212/home/9636353,BRIGHT MLS,MDBC2015908,N,Y,39.3759095,-76.6153449,1.9281257554148583,0.4305191614318167,2.7563098182992456,2.792264347661999
2009,PAST SALE,May-7-2021,Townhouse,6408 Loch Crest Rd,Idlewylde,MD,21239,280000,3.0,2.5,LOCH GLEN,1930.0,8618.0,1959.0,,145.0,,Sold,,,https://www.redfin.com/MD/Northwood/6408-Loch-Crest-Ct-21239/home/9667934,BRIGHT MLS,MDBC521774,N,Y,39.3722345,-76.5857675,1.5879179956983875,2.2521126585540734,4.236330958873157,3.400559359297932
2010,PAST SALE,,Single Family Residential,5805 Merville Ave,Baltimore,MD,21215,257000,,2.0,,1909.0,6995.0,1953.0,,135.0,,,,,https://www.redfin.com/MD/Baltimore/5805-Merville-Ave-21215/home/11179488,,,N,Y,39.3599894,-76.6766691,1.3802113647861411,2.4900377433190255,3.4584961025462864,4.741316184586184
2011,PAST SALE,,Single Family Residential,310 Dale Ave,Baltimore,MD,21206,224000,,2.0,,1080.0,6360.0,1940.0,,207.0,,,,,https://www.redfin.com/MD/Baltimore/310-Dale-Ave-21206/home/9393896,,,N,Y,39.3548325,-76.5219294,3.8314255966485424,3.9667770761085426,6.992293753861016,7.576888616786806
2012,PAST SALE,September-3-2021,Townhouse,3907 Fait Ave,Baltimore,MD,21224,320000,3.0,2.5,Ward 26,1586.0,,1915.0,,202.0,,Sold,,,https://www.redfin.com/MD/Baltimore/3907-Fait-Ave-21224/home/11073133,BRIGHT MLS,MDBA2002572,N,Y,39.2835202,-76.5637805,1.3797655267052864,3.008961543586234,1.0426536428102928,3.008961543586234
2013,PAST SALE,February-19-2021,Townhouse,5128 Harford Rd,Baltimore,MD,21214,195000,3.0,1.0,Ward 27,1560.0,2500.0,1929.0,,125.0,,Sold,,,https://www.redfin.com/MD/Baltimore/5128-Harford-Rd-21214/home/11144287,BRIGHT MLS,MDBA530262,N,Y,39.3487983,-76.5648243,2.1727500890294342,1.158932835162718,3.7897433059227135,3.8411422158253266
2014,PAST SALE,February-4-2022,Townhouse,3706 Elkader,Baltimore,MD,21218,220000,3.0,1.5,Ward 9,1660.0,,1932.0,,133.0,,Sold,,,https://www.redfin.com/MD/Baltimore/3706-Elkader-Rd-21218/home/10824256,BRIGHT MLS,MDBA2024508,N,Y,39.3336196,-76.603079,1.065586735340101,0.6600891193148014,0.6654983159525056,0.6600891193148014
2015,PAST SALE,,Townhouse,147 N Linwood Ave,Baltimore,MD,21224,250000,,2.5,,1815.0,913.0,1920.0,,138.0,,,,,https://www.redfin.com/MD/Baltimore/147-N-Linwood-Ave-21224/home/10762389,,,N,Y,39.294345,-76.5761063,1.270156120039334,2.3489676365586734,0.6516717145115724,2.3443598631477593
